date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:01	110/110	---M-Z	200	added ('OK')	text/plain	etag:%2273a63d4945b954f164344997b663ab3d%22	https://voluntary-lynx-271694.framer.app/robots.txt		(from )
16:25:01	284930/284930	---M-Z	200	added ('OK')	text/html	etag:%2265af7052f3e4c5cb4d8be09a8f7845bd%22	https://voluntary-lynx-271694.framer.app/	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/voluntary-lynx-271694.framer.app/index.html	(from )
16:25:01	38081/38081	---MC-	200	added ('OK')	image/jpeg	etag:%221e8c11cb516097f6a03ecd524e02ba1e%22	https://framerusercontent.com/images/l0xgizvxJQlXThZh3xg8pVJY5c.jpg	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/l0xgizvxJQlXThZh3xg8pVJY5c.jpg	(from https://voluntary-lynx-271694.framer.app/)
16:25:02	12909/12909	---MC-	200	added ('OK')	image/png	etag:%22e99ad57215743b1b31373ab158ba815d%22	https://framerusercontent.com/images/tPdUyRcD88ycm1r7Elm2K2qn8.png	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/tPdUyRcD88ycm1r7Elm2K2qn8.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:02	12909/12909	---MC-	200	added ('OK')	image/png	etag:%22e99ad57215743b1b31373ab158ba815d%22	https://framerusercontent.com/images/tPdUyRcD88ycm1r7Elm2K2qn8.png?width=500&height=500	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/tPdUyRcD88ycm1r7Elm2K2qn895a5.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:02	700806/700806	---MC-	200	added ('OK')	image/png	etag:%221432ce36e32105cd3b317f0a732bad42%22	https://framerusercontent.com/images/7G3viLEU9kLvLQaHHqu7fwCs4.png?width=1448&height=1086	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/7G3viLEU9kLvLQaHHqu7fwCs4a400.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:02	721690/721690	---MC-	200	added ('OK')	image/png	etag:%228a17b16651616732d5d2a902455a73c1%22	https://framerusercontent.com/images/2fxJ08y6aJ2XxIbll5snbTZMvY.png?width=1086&height=1448	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/2fxJ08y6aJ2XxIbll5snbTZMvY2991.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:03	542552/542552	---MC-	200	added ('OK')	image/png	etag:%22f660713207c40aeea7fca3c730ccf7ec%22	https://framerusercontent.com/images/KUWM0fbSbiqjgC7uWoeJzOpIMys.png?width=1086&height=1448	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/KUWM0fbSbiqjgC7uWoeJzOpIMys2991.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:03	505092/505092	---MC-	200	added ('OK')	image/png	etag:%22ce4001d36e12c8c3bf23f37d308c4b79%22	https://framerusercontent.com/images/dsmCLTMuu8AdexOsPkSWOgzgi8.png?width=1448&height=1086	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/dsmCLTMuu8AdexOsPkSWOgzgi8a400.png	(from https://voluntary-lynx-271694.framer.app/)
16:25:03	394475/394475	---MC-	200	added ('OK')	image/png	etag:%22b5fc3156493aae06f37358c24899cafa%22	https://framerusercontent.com/images/QETFb5hxyuf3fIxpgkuDupzJP9w.png?width=1086&height=1448	C:/Users/ASUS/Desktop/VS%20CODE/ANAND%20VILLAS/ANAND%20VILLAS%20HOSTELL/framerusercontent.com/images/QETFb5hxyuf3fIxpgkuDupzJP9w2991.png	(from https://voluntary-lynx-271694.framer.app/)
